page,numero_atomique,nom,symbole,masse_atomique,frequence_hz,forme_vibratoire,polarite_vibratoire,fonction_symbolique,couleur_vibratoire
1,1,Hydrogène,H,1.008,432,Sphère,Émetteur,Origine,Blanc
1,2,Hélium,He,4.0026,439,Double sphère,Isolant,Stabilité,Bleu
1,3,Lithium,Li,6.94,446,Onde spiralée,Amplificateur,Transmission,Rouge
1,4,Béryllium,Be,9.0122,453,Tétrahédrique,Modulateur,Formation,Vert
1,5,Bore,B,10.81,460,Pyramide,Activateur,Base du vivant,Jaune
1,6,Carbone,C,12.011,467,Hexagone,Diffuseur,Respiration,Or
1,7,Azote,N,14.007,474,Spirale,Stabilisateur,Protection,Argent
1,8,Oxygène,O,15.999,481,Cube,Catalyseur,Ancrage,Violet
1,9,Fluor,F,18.998,488,Sphère,Émetteur,Origine,Blanc
1,10,Néon,Ne,20.18,495,Double sphère,Isolant,Stabilité,Bleu
1,11,Sodium,Na,22.99,502,Onde spiralée,Amplificateur,Transmission,Rouge
1,12,Magnésium,Mg,24.305,509,Tétrahédrique,Modulateur,Formation,Vert
1,13,Aluminium,Al,26.982,516,Pyramide,Activateur,Base du vivant,Jaune
1,14,Silicium,Si,28.085,523,Hexagone,Diffuseur,Respiration,Or
1,15,Phosphore,P,30.974,530,Spirale,Stabilisateur,Protection,Argent
1,16,Soufre,S,32.06,537,Cube,Catalyseur,Ancrage,Violet
1,17,Chlore,Cl,35.45,544,Sphère,Émetteur,Origine,Blanc
1,18,Argon,Ar,39.948,551,Double sphère,Isolant,Stabilité,Bleu
1,19,Potassium,K,39.098,558,Onde spiralée,Amplificateur,Transmission,Rouge
1,20,Calcium,Ca,40.078,565,Tétrahédrique,Modulateur,Formation,Vert
1,21,Scandium,Sc,44.956,572,Pyramide,Activateur,Base du vivant,Jaune
1,22,Titane,Ti,47.867,579,Hexagone,Diffuseur,Respiration,Or
1,23,Vanadium,V,50.942,586,Spirale,Stabilisateur,Protection,Argent
1,24,Chrome,Cr,51.996,593,Cube,Catalyseur,Ancrage,Violet
1,25,Manganèse,Mn,54.938,600,Sphère,Émetteur,Origine,Blanc
1,26,Fer,Fe,55.845,607,Double sphère,Isolant,Stabilité,Bleu
2,27,Cobalt,Co,58.933,614,Onde spiralée,Amplificateur,Transmission,Rouge
2,28,Nickel,Ni,58.693,621,Tétrahédrique,Modulateur,Formation,Vert
2,29,Cuivre,Cu,63.546,628,Pyramide,Activateur,Base du vivant,Jaune
2,30,Zinc,Zn,65.38,635,Hexagone,Diffuseur,Respiration,Or
2,31,Gallium,Ga,69.723,642,Spirale,Stabilisateur,Protection,Argent
2,32,Germanium,Ge,72.63,649,Cube,Catalyseur,Ancrage,Violet
2,33,Arsenic,As,74.922,656,Sphère,Émetteur,Origine,Blanc
2,34,Sélénium,Se,78.971,663,Double sphère,Isolant,Stabilité,Bleu
2,35,Brome,Br,79.904,670,Onde spiralée,Amplificateur,Transmission,Rouge
2,36,Krypton,Kr,83.798,677,Tétrahédrique,Modulateur,Formation,Vert
2,37,Rubidium,Rb,85.468,684,Pyramide,Activateur,Base du vivant,Jaune
2,38,Strontium,Sr,87.62,691,Hexagone,Diffuseur,Respiration,Or
2,39,Yttrium,Y,88.906,698,Spirale,Stabilisateur,Protection,Argent
2,40,Zirconium,Zr,91.224,705,Cube,Catalyseur,Ancrage,Violet
2,41,Niobium,Nb,92.906,712,Sphère,Émetteur,Origine,Blanc
2,42,Molybdène,Mo,95.95,719,Double sphère,Isolant,Stabilité,Bleu
2,43,Technétium,Tc,98.0,726,Onde spiralée,Amplificateur,Transmission,Rouge
2,44,Ruthénium,Ru,101.07,733,Tétrahédrique,Modulateur,Formation,Vert
2,45,Rhodium,Rh,102.91,740,Pyramide,Activateur,Base du vivant,Jaune
2,46,Palladium,Pd,106.42,747,Hexagone,Diffuseur,Respiration,Or
2,47,Argent,Ag,107.87,754,Spirale,Stabilisateur,Protection,Argent
2,48,Cadmium,Cd,112.41,761,Cube,Catalyseur,Ancrage,Violet
2,49,Indium,In,114.82,768,Sphère,Émetteur,Origine,Blanc
2,50,Étain,Sn,118.71,775,Double sphère,Isolant,Stabilité,Bleu
2,51,Antimoine,Sb,121.76,782,Onde spiralée,Amplificateur,Transmission,Rouge
2,52,Tellure,Te,127.6,789,Tétrahédrique,Modulateur,Formation,Vert
3,53,Iode,I,126.9,796,Pyramide,Activateur,Base du vivant,Jaune
3,54,Xénon,Xe,131.29,803,Hexagone,Diffuseur,Respiration,Or
3,55,Césium,Cs,132.91,810,Spirale,Stabilisateur,Protection,Argent
3,56,Baryum,Ba,137.33,817,Cube,Catalyseur,Ancrage,Violet
3,57,Lanthane,La,138.91,824,Sphère,Émetteur,Origine,Blanc
3,58,Cérium,Ce,140.12,831,Double sphère,Isolant,Stabilité,Bleu
3,59,Praséodyme,Pr,140.91,838,Onde spiralée,Amplificateur,Transmission,Rouge
