atomic_number,symbol,name,period,group,electronegativity_pauling,ionization_energy_1,atomic_radius,source_note
1,H,Hydrogen,1,1,2.2,13.597925259346772,53.0,Bluegrams periodic-table-data CSV
2,He,Helium,1,18,,24.587163180448435,31.0,Bluegrams periodic-table-data CSV
3,Li,Lithium,2,1,0.98,5.391494451152584,167.0,Bluegrams periodic-table-data CSV
4,Be,Beryllium,2,2,1.57,9.322662935047576,112.0,Bluegrams periodic-table-data CSV
5,B,Boron,2,13,2.04,8.297636404445903,87.0,Bluegrams periodic-table-data CSV
6,C,Carbon,2,14,2.55,11.260781855396544,67.0,Bluegrams periodic-table-data CSV
7,N,Nitrogen,2,15,3.04,14.533819048156994,56.0,Bluegrams periodic-table-data CSV
8,O,Oxygen,2,16,3.44,13.617617376719302,48.0,Bluegrams periodic-table-data CSV
9,F,Fluorine,2,17,3.98,17.42234173853805,42.0,Bluegrams periodic-table-data CSV
10,Ne,Neon,2,18,,21.5649413773802,38.0,Bluegrams periodic-table-data CSV
11,Na,Sodium,3,1,0.93,5.138606207000099,190.0,Bluegrams periodic-table-data CSV
12,Mg,Magnesium,3,2,1.31,7.64572367669216,145.0,Bluegrams periodic-table-data CSV
13,Al,Aluminium,3,13,1.61,5.985367254018873,118.0,Bluegrams periodic-table-data CSV
14,Si,Silicon,3,14,1.9,8.151500164997131,111.0,Bluegrams periodic-table-data CSV
15,P,Phosphorus,3,15,2.19,10.48657071448709,98.0,Bluegrams periodic-table-data CSV
16,S,Sulfur,3,16,2.58,10.360126592410849,88.0,Bluegrams periodic-table-data CSV
17,Cl,Chlorine,3,17,3.16,12.967777503425824,79.0,Bluegrams periodic-table-data CSV
18,Ar,Argon,3,18,,15.759912461404497,71.0,Bluegrams periodic-table-data CSV
19,K,Potassium,4,1,0.82,4.340557239797582,243.0,Bluegrams periodic-table-data CSV
20,Ca,Calcium,4,2,1.0,6.112847803325248,194.0,Bluegrams periodic-table-data CSV
21,Sc,Scandium,4,3,1.36,6.561620793972898,184.0,Bluegrams periodic-table-data CSV
22,Ti,Titanium,4,4,1.54,6.827982592117113,176.0,Bluegrams periodic-table-data CSV
23,V,Vanadium,4,5,1.63,6.746104840936596,171.0,Bluegrams periodic-table-data CSV
24,Cr,Chromium,4,6,1.66,6.766833385539258,166.0,Bluegrams periodic-table-data CSV
25,Mn,Manganese,4,7,1.55,7.434292521744999,161.0,Bluegrams periodic-table-data CSV
26,Fe,Iron,4,8,1.83,7.902757629765178,156.0,Bluegrams periodic-table-data CSV
27,Co,Cobalt,4,9,1.88,7.8809926579323815,152.0,Bluegrams periodic-table-data CSV
28,Ni,Nickel,4,10,1.91,7.639505113311361,149.0,Bluegrams periodic-table-data CSV
29,Cu,Copper,4,11,1.9,7.726565000642545,145.0,Bluegrams periodic-table-data CSV
30,Zn,Zinc,4,12,1.65,9.394176413926763,142.0,Bluegrams periodic-table-data CSV
31,Ga,Gallium,4,13,1.81,5.998840808010603,136.0,Bluegrams periodic-table-data CSV
32,Ge,Germanium,4,14,2.01,7.897575493614512,125.0,Bluegrams periodic-table-data CSV
33,As,Arsenic,4,15,2.18,9.814965869360817,114.0,Bluegrams periodic-table-data CSV
34,Se,Selenium,4,16,2.55,9.75278023555283,103.0,Bluegrams periodic-table-data CSV
35,Br,Bromine,4,17,2.96,11.814233996287642,94.0,Bluegrams periodic-table-data CSV
36,Kr,Krypton,4,18,3.0,14.000059024638428,88.0,Bluegrams periodic-table-data CSV
