symbol,atomic_number,pc1,pc2,pc3
Ac,89,0.16977245768073435,-0.26610891901226147,-0.5071494522988242
Ag,47,-0.2792025241446089,-0.7121604897759538,-0.8821760795563263
Al,13,-0.5243838978752986,-1.406028803717672,0.11500927368296437
Am,95,-0.2889627219273577,-0.6986524308585851,-0.8500339709876531
Ar,18,-0.6900844991797203,-0.8446683948239055,-1.0338729771787991
As,33,-0.20682293158140636,-0.6609959823818041,-0.8417426863092096
At,85,-0.28986353217783445,-0.700475884009795,-0.8512208958301646
Au,79,-0.22840401932276516,-0.666525951865583,-0.8377053889471331
B,5,-0.9687846625780767,-1.5307392824990007,-0.28846054800096355
Ba,56,0.3834409563566833,-0.10812565801872492,-0.29763691767912476
Be,4,-0.9267355317646624,-1.9513625210710508,0.17075121675424876
Bh,107,-0.2906310389899509,-0.7002749239761714,-0.8506480249009609
Bi,83,-0.23172128953196441,-0.6672322030170318,-0.8390646737042602
Bk,97,-0.2847164946921269,-0.6905428114820455,-0.8469537162114231
Br,35,-0.2528138792741238,-0.6027390255907364,-0.819171570878001
C,6,-2.3449329685604785,-1.1626772603789655,-0.2218233331500038
Ca,20,-0.05260184760086885,-0.7369756472399225,-0.9362604111464017
Cd,48,-0.2877520986464599,-0.6937685628401506,-0.8741400311619538
Ce,58,10.127247581840528,9.214316917265318,7.035800265078496
Cf,98,-0.2890245114481945,-0.6987125231962734,-0.8500567137251831
Cl,17,-0.4213704296109382,-0.756046112817077,-0.979009756048859
Cm,96,-0.28530703252202283,-0.686271882328167,-0.8453238594953234
Co,27,-0.2785950987078153,-0.6880958840839941,-0.8457902991928454
Cr,24,0.4682070532315379,-0.14452339238912906,-0.5837317705721479
Cs,55,0.02276371865854028,-0.4096091739419313,-0.5559830757701666
Cu,29,-0.3418670788452918,-0.7411806589639278,-0.8091927957272324
Db,105,-0.2906310389899509,-0.7002749239761714,-0.8506480249009609
Dy,66,1.399799302321715,0.7840749059658242,0.49112728617539475
Er,68,1.22915319718023,0.616768868613368,0.33267275417017117
Es,99,-0.28995135426074625,-0.6996139082615993,-0.8503978547881318
Eu,63,0.4059818095840276,-0.20284542795952437,-0.4214897979798514
F,9,-0.4392513333130074,-0.41071883891406374,-0.6744237500881451
Fe,26,1.4229412918838855,1.0856189204637579,-0.16227095629749755
Fm,100,-0.2906310389899509,-0.7002749239761714,-0.8506480249009609
Fr,87,-0.0644603797315016,-0.5068980689241755,-0.6683820159012832
Ga,31,-0.29998072325492675,-0.701090403206102,-0.7107610181625932
Gd,64,3.1633604639935453,2.4694916527552815,1.6590565448664538
Ge,32,0.6645456806354352,-0.06624056546130808,-0.4983360216363569
H,1,-11.007145259885407,9.681875936687941,-2.022029531589346
He,2,-13.653803710669349,11.387739469104396,3.679872739394008
Hf,72,0.6165859948903787,0.0684679369441841,-0.23986915224585334
Hg,80,-0.5556144024674327,-0.8421246042646069,-0.8276251409349061
Ho,67,0.6134747699115737,0.13726579413352505,-0.14572203388345362
Hs,108,-0.2906310389899509,-0.7002749239761714,-0.8506480249009609
I,53,-0.31657897776467253,-0.5752785879215104,-0.8737091831286999
In,49,-0.027459711241991425,-0.49006443020963375,-0.7053313468698278
Ir,77,0.4345059281546805,-0.08094440111689344,-0.38883742032805757
K,19,-3.7156777792637254,-5.2896472373463475,10.239190279937466
Kr,36,-1.060140713246644,-1.2993621759366154,-0.22026637836930824
La,57,1.4680065131344,0.8803054322063587,0.3675303058184521
Li,3,-4.8530129971940985,-7.707381644917088,14.209692586089883
Lr,103,-0.28946393341968113,-0.698906984861241,-0.8491036815141804
Lu,71,0.5148909314349801,-0.007688769099623655,-0.3199803616501315
Md,101,-0.2906310389899509,-0.7002749239761714,-0.8506480249009609
Mg,12,-0.960058946596391,-1.3732939391419037,0.6882184991175403
Mn,25,0.007251670487983974,-0.6552331091116139,-0.8950317597266451
Mo,42,0.2888088736478733,-0.2974476858634942,-0.562935344285991
N,7,-0.6456430562136888,-0.7680305898402886,-0.8997730763246083
Na,11,-2.2429659958638513,-0.6333650263539212,1.326884281757097
Nb,41,-0.2595673627780569,-0.6694177416525647,-0.8387208289401897
Nd,60,3.5884199323780175,2.9142801256528954,2.1212581083877518
Ne,10,-1.4246442671232113,0.12955007585163236,-0.1693379647348389
Ni,28,2.1040414301387607,1.4046116713318852,0.6298820977188299
No,102,-0.2906310389899509,-0.7002749239761714,-0.8506480249009609
