symbol,atomic_number,pc1,pc2,pc3,name,period,group,electronegativity_pauling,ionization_energy_1,atomic_radius,source_note,block
Ac,89,0.1697724576807343,-0.2661089190122614,-0.5071494522988242,Actinium,7,3.0,1.1,5.171771878364359,,Bluegrams periodic-table-data CSV,d
Ag,47,-0.2792025241446089,-0.7121604897759538,-0.8821760795563263,Silver,5,11.0,1.93,7.576283052273239,165.0,Bluegrams periodic-table-data CSV,d
Al,13,-0.5243838978752986,-1.406028803717672,0.1150092736829643,Aluminium,3,13.0,1.61,5.985367254018873,118.0,Bluegrams periodic-table-data CSV,p
Am,95,-0.2889627219273577,-0.6986524308585851,-0.8500339709876531,Americium,7,,1.13,5.990549390169538,,Bluegrams periodic-table-data CSV,f
Ar,18,-0.6900844991797203,-0.8446683948239055,-1.0338729771787991,Argon,3,18.0,,15.759912461404497,71.0,Bluegrams periodic-table-data CSV,p
As,33,-0.2068229315814063,-0.6609959823818041,-0.8417426863092096,Arsenic,4,15.0,2.18,9.814965869360815,114.0,Bluegrams periodic-table-data CSV,p
At,85,-0.2898635321778344,-0.700475884009795,-0.8512208958301646,Astatine,6,17.0,2.2,9.317511891713815,127.0,Bluegrams periodic-table-data CSV,p
Au,79,-0.2284040193227651,-0.666525951865583,-0.8377053889471331,Gold,6,11.0,2.54,9.225238775415065,174.0,Bluegrams periodic-table-data CSV,d
B,5,-0.9687846625780768,-1.5307392824990007,-0.2884605480009635,Boron,2,13.0,2.04,8.297636404445903,87.0,Bluegrams periodic-table-data CSV,p
Ba,56,0.3834409563566833,-0.1081256580187249,-0.2976369176791247,Barium,6,2.0,0.89,5.212192540339551,253.0,Bluegrams periodic-table-data CSV,s
Be,4,-0.9267355317646624,-1.9513625210710508,0.1707512167542487,Beryllium,2,2.0,1.57,9.322662935047576,112.0,Bluegrams periodic-table-data CSV,s
Bh,107,-0.2906310389899509,-0.7002749239761714,-0.8506480249009609,Bohrium,7,7.0,,,,Bluegrams periodic-table-data CSV,d
Bi,83,-0.2317212895319644,-0.6672322030170318,-0.8390646737042602,Bismuth,6,15.0,2.02,7.286083427835961,143.0,Bluegrams periodic-table-data CSV,p
