symbol,atomic_number,period,group,dominant_band,band_strength,spectral_entropy,concentration_ratio,spike_projection,spike_distance
Ac,89,7,3,b10,143.0,0.9047973226938149,0.7258883248730964,-17.123328091806574,146.17041983609525
Ag,47,5,11,b10,90.0,1.2483777197941024,0.4368932038834951,-16.255510298672302,117.18258567265771
Al,13,3,13,b10,252.0,1.5588478498496956,0.4375,-40.662571184310565,298.66796832717245
Am,95,7,3,b10,27.0,0.1540761036710294,0.9642857142857144,-1.1443558797205184,26.994266976907323
Ar,18,3,18,b33,481.0,1.0013918244974112,0.6717877094972067,54.819524767371696,499.7607624696836
As,33,4,15,b32,100.0,1.136906794416472,0.5988023952095808,-25.520713290783803,105.44047227288776
At,85,6,17,b32,3.0,0.6730116670092565,0.6,-0.7929081458678496,3.517285412390699
Au,79,6,11,b10,190.0,0.6657381936318001,0.753968253968254,-21.112485865791797,196.98290012223583
B,5,2,13,b10,218.0,1.6505841895366509,0.4467213114754098,-29.343884006660314,250.52931259915206
Ba,56,6,2,b31,343.0,1.0889765538946858,0.5142428785607196,-95.9952231282427,400.8839197779813
Be,4,2,2,b10,284.0,1.6322756411565986,0.3604060913705584,-41.234834326070036,390.2764256755736
Bh,107,7,7,b32,1.0,-0.0,1.0,-0.242022888341657,0.9702705403745708
Bi,83,6,15,b32,67.0,1.205954077959808,0.4718309859154929,-19.937219071924655,83.88389175329245
Bk,97,7,3,b10,97.0,0.5324572242645215,0.8016528925619835,-4.533314796459996,99.59141055812091
Br,35,4,17,b33,250.0,1.0925881215198323,0.5773672055427251,24.86327274840844,279.5224815077282
C,6,2,14,b09,1014.0,1.4399477414458357,0.4012663237039968,-14.498810667618717,1329.1090190384025
Ca,20,4,2,b32,702.0,0.9555041986263232,0.7297297297297297,-181.6944531529837,693.9705510275189
Cd,48,5,12,b32,96.0,1.2796115020795131,0.4923076923076923,-25.434747756913733,112.53476621267835
Ce,58,6,3,b31,438.0,1.3968092891419963,0.3802083333333333,-228.652129694495,576.361174599896
Cf,98,7,3,b10,26.0,0.1584105701317908,0.9629629629629628,-1.110936139299079,25.99549616557451
Cl,17,3,17,b33,372.0,1.033818262796938,0.6469565217391304,43.00303926603726,390.5659209581446
Cm,96,7,3,b10,89.0,0.6933574494200048,0.6312056737588653,-5.5437028923356255,102.43176928200307
Co,27,4,9,b10,200.0,-0.0,1.0,-6.683948084287862,199.8882808921187
Cr,24,4,6,b10,3857.0,0.7881151902030433,0.7672568132086731,-309.40506104866796,3914.207136598352
Cs,55,6,1,b31,165.0,1.298446749702609,0.4094292803970223,-49.13338091208963,219.82017850995277
Cu,29,4,11,b10,850.0,1.1407254342354698,0.6410256410256411,-67.58611005054074,888.8296336915395
