symbol,atomic_number,period,group,dominant_band,band_strength,spectral_entropy,concentration_ratio
Ac,89,7,3,b10,143.0,0.9047973226938149,0.7258883248730964
Ag,47,5,11,b10,90.0,1.2483777197941024,0.4368932038834951
Al,13,3,13,b10,252.0,1.5588478498496956,0.4375
Am,95,7,3,b10,27.0,0.15407610367102942,0.9642857142857143
Ar,18,3,18,b33,481.0,1.0013918244974112,0.6717877094972067
As,33,4,15,b32,100.0,1.136906794416472,0.5988023952095808
At,85,6,17,b32,3.0,0.6730116670092565,0.6
Au,79,6,11,b10,190.0,0.6657381936318001,0.753968253968254
B,5,2,13,b10,218.0,1.6505841895366509,0.44672131147540983
Ba,56,6,2,b31,343.0,1.0889765538946858,0.5142428785607196
Be,4,2,2,b10,284.0,1.6322756411565986,0.3604060913705584
Bh,107,7,7,b32,1.0,-0.0,1.0
Bi,83,6,15,b32,67.0,1.205954077959808,0.47183098591549294
Bk,97,7,3,b10,97.0,0.5324572242645215,0.8016528925619835
Br,35,4,17,b33,250.0,1.0925881215198325,0.5773672055427251
C,6,2,14,b09,1014.0,1.4399477414458355,0.40126632370399684
Ca,20,4,2,b32,702.0,0.9555041986263233,0.7297297297297297
Cd,48,5,12,b32,96.0,1.2796115020795131,0.49230769230769234
Ce,58,6,3,b31,438.0,1.3968092891419963,0.3802083333333333
Cf,98,7,3,b10,26.0,0.15841057013179086,0.9629629629629629
Cl,17,3,17,b33,372.0,1.0338182627969381,0.6469565217391304
Cm,96,7,3,b10,89.0,0.6933574494200048,0.6312056737588653
Co,27,4,9,b10,200.0,-0.0,1.0
Cr,24,4,6,b10,3857.0,0.7881151902030433,0.7672568132086731
Cs,55,6,1,b31,165.0,1.298446749702609,0.4094292803970223
Cu,29,4,11,b10,850.0,1.1407254342354698,0.6410256410256411
Db,105,7,5,b32,1.0,-0.0,1.0
Dy,66,6,3,b31,596.0,0.9964487994394222,0.6273684210526316
Er,68,6,3,b31,536.0,1.0875915353211938,0.5942350332594235
Es,99,7,3,b10,11.0,0.2868359830561607,0.9166666666666666
Eu,63,6,3,b10,350.0,1.1976738619971654,0.38802660753880264
F,9,2,17,b33,228.0,1.3362119124857945,0.4924406047516199
Fe,26,4,8,b10,6444.0,0.9171589907233998,0.5988291051017564
Fm,100,7,3,b32,1.0,-0.0,1.0
Fr,87,7,1,b10,140.0,0.8998144364621894,0.5166051660516605
Ga,31,4,13,b10,166.0,1.6171018406098023,0.3132075471698113
Gd,64,6,3,b31,468.0,1.1186218930777119,0.4751269035532995
Ge,32,4,14,b32,611.0,0.8130851968102117,0.7239336492890995
H,1,1,1,b10,174.0,1.846630782573097,0.2838499184339315
He,2,1,18,b09,1033.0,1.386663445107004,0.3332258064516129
Hf,72,6,4,b32,172.0,1.0162984631202718,0.5180722891566265
Hg,80,6,12,b10,477.0,1.2851806971127997,0.48623853211009177
Ho,67,6,3,b10,282.0,1.0611677078149702,0.55078125
Hs,108,7,8,b32,1.0,-0.0,1.0
I,53,5,17,b09,743.0,1.0962998031147002,0.4484007242003621
In,49,5,13,b32,87.0,1.287875488512866,0.42857142857142855
Ir,77,6,9,b10,402.0,0.9761033928722824,0.6442307692307693
K,19,4,1,b11,406.0,1.7398963516563843,0.4375
Kr,36,4,18,b33,502.0,1.362274808868336,0.36376811594202896
La,57,6,3,b10,291.0,1.2022338075786951,0.4656
Li,3,2,1,b10,145.0,2.225149613526739,0.2761904761904762
Lr,103,7,3,b31,1.0,-0.0,1.0
Lu,71,6,3,b10,133.0,1.2630443722279758,0.4006024096385542
Md,101,7,3,b32,1.0,-0.0,1.0
Mg,12,3,2,b10,237.0,1.7801318454678094,0.29008567931456547
Mn,25,4,7,b32,488.0,0.9066839602276362,0.5761511216056671
Mo,42,5,6,b10,818.0,0.9383053723010777,0.657556270096463
N,7,2,15,b33,328.0,1.1536345083024653,0.6368932038834951
Na,11,3,1,b11,303.0,1.8331230440589348,0.23708920187793428
Nb,41,5,5,b10,508.0,0.014207200499699927,0.9980353634577603
Nd,60,6,3,b31,435.0,1.1748775112910308,0.5259975816203144
Ne,10,2,18,b10,820.0,1.2288244881301404,0.4177279673968416
Ni,28,4,10,b10,243.0,1.0394586075447174,0.45849056603773586
No,102,7,3,b32,1.0,-0.0,1.0
Np,93,7,3,b10,78.0,0.5350204617619485,0.8041237113402062
O,8,2,16,b33,439.0,1.2493590637500012,0.5814569536423841
Os,76,6,8,b10,534.0,0.9549872338735308,0.6750948166877371
P,15,3,15,b33,205.0,1.3398664490905687,0.44086021505376344
Pa,91,7,3,b10,51.0,0.3455608922812175,0.9107142857142857
Pb,82,6,14,b32,129.0,1.107368850639432,0.4795539033457249
Pd,46,5,10,b10,76.0,-0.0,1.0
Pm,61,6,3,b10,229.0,1.0749263892612357,0.5088888888888888
Po,84,6,16,b10,37.0,0.9679594484785208,0.5362318840579711
Pr,59,6,3,b30,201.0,1.3694944245111749,0.33952702702702703
Pt,78,6,10,b10,979.0,0.6094450537914191,0.8213087248322147
Pu,94,7,3,b10,134.0,0.2379967460744346,0.9436619718309859
Ra,88,7,2,b10,139.0,1.0757862745891815,0.6205357142857143
Rb,37,5,1,b31,226.0,1.0359743850575924,0.5022222222222222
Re,75,6,7,b10,432.0,0.9978430077855782,0.6041958041958042
Rf,104,7,4,b32,1.0,-0.0,1.0
Rh,45,5,9,b10,465.0,0.8054970904253138,0.775
Rn,86,6,18,b33,90.0,1.0061136246185356,0.5172413793103449
Ru,44,5,8,b10,541.0,1.0677179578610694,0.6394799054373522
S,16,3,16,b09,585.0,1.6540680443467943,0.3310696095076401
Sb,51,5,15,b32,148.0,1.0008837030388495,0.5156794425087108
Sc,21,4,3,b10,1983.0,0.8798706328321075,0.7413084112149533
Se,34,4,16,b32,167.0,1.082521346209716,0.5387096774193548
Sg,106,7,6,b32,1.0,-0.0,1.0
Si,14,3,14,b32,519.0,0.9224714198019365,0.6594663278271918
Sm,62,6,3,b31,331.0,1.1452567969220333,0.5196232339089482
Sn,50,5,14,b32,217.0,1.10744038336688,0.4779735682819383
Sr,38,5,2,b32,317.0,1.169703565606616,0.43424657534246575
Ta,73,6,5,b10,526.0,1.0546391028432174,0.6477832512315271
