pc,target,method,n,r,p,perm_p,n_perm
pc2,period,pearson,108,-0.0733654118620648,0.45050007695131633,0.45450909818036395,5000
pc2,period,spearman,108,0.042871163439468535,0.6595398394923285,0.6550689862027594,5000
pc2,group,pearson,80,0.06685807647071418,0.5556968474683268,0.5752849430113978,5000
pc2,group,spearman,80,-0.11954125757589978,0.29088845416681797,0.29674065186962606,5000
pc2,atomic_number,pearson,108,-0.06575663811978052,0.49894946417675573,0.5062987402519497,5000
pc2,atomic_number,spearman,108,-0.03200217318658305,0.7423139246830246,0.7394521095780844,5000
pc2,electronegativity_pauling,pearson,100,-0.02873199740285556,0.7765895311095103,0.7796440711857628,5000
pc2,electronegativity_pauling,spearman,100,-0.1216007909217804,0.22812690209494668,0.22975404919016196,5000
pc2,ionization_energy_1,pearson,104,0.26292406227250714,0.007006827695417956,0.019596080783843232,5000
pc2,ionization_energy_1,spearman,104,-0.1570834522963416,0.11127576575424565,0.11577684463107378,5000
pc2,atomic_radius,pearson,86,-0.08283289829872569,0.44831658193703916,0.4589082183563287,5000
pc2,atomic_radius,spearman,86,0.33642646622738176,0.0015396943687701933,0.0021995600879824036,5000
pc3,period,pearson,108,-0.18980650612934113,0.04912574438915423,0.046990601879624075,5000
pc3,period,spearman,108,-0.2188983279210335,0.02284209249301473,0.02499500099980004,5000
pc3,group,pearson,80,-0.2609217551883514,0.019404074649098164,0.00639872025594881,5000
pc3,group,spearman,80,-0.2859713404465508,0.010126123015473557,0.01259748050389922,5000
pc3,atomic_number,pearson,108,-0.2406829231211826,0.012102361101497641,0.007998400319936013,5000
pc3,atomic_number,spearman,108,-0.31189850642543676,0.0010162036925479823,0.0009998000399920016,5000
pc3,electronegativity_pauling,pearson,100,-0.28918013756599203,0.0035221490520326785,0.005198960207958408,5000
pc3,electronegativity_pauling,spearman,100,-0.26497347932935855,0.007716681342167292,0.008798240351929614,5000
pc3,ionization_energy_1,pearson,104,-0.11962625939487878,0.22644870680634438,0.18056388722255548,5000
pc3,ionization_energy_1,spearman,104,-0.2702149055615904,0.005534428597075085,0.005598880223955209,5000
pc3,atomic_radius,pearson,86,0.18736535639218357,0.08408450174086542,0.08598280343931214,5000
pc3,atomic_radius,spearman,86,0.37501592262780786,0.00037421004746362194,0.0005998800239952009,5000
