pc,residualized_on,target,method,n,r,p
pc2,period,group,pearson,80,0.048381176017834024,0.6699814160619035
pc2,period,group,spearman,80,-0.17922968707082107,0.11166375526597525
pc2,period,atomic_number,pearson,108,0.0042237243046008704,0.9653957043227576
pc2,period,atomic_number,spearman,108,0.21277133427714937,0.02704724685588022
pc2,period,electronegativity_pauling,pearson,100,-0.06598758507007614,0.51421342107043
pc2,period,electronegativity_pauling,spearman,100,-0.22512238070463722,0.024327956536720326
pc2,period,ionization_energy_1,pearson,104,0.21912673057353127,0.02542457529791875
pc2,period,ionization_energy_1,spearman,104,-0.26769696120636816,0.006008461893640696
pc2,period,atomic_radius,pearson,86,-0.03914341504851382,0.7204731747491226
pc2,period,atomic_radius,spearman,86,0.40734992435990075,9.918751957475861e-05
pc3,period,group,pearson,80,-0.316181561187737,0.004274049314429009
pc3,period,group,spearman,80,-0.5028248182121835,2.0024991122295134e-06
pc3,period,atomic_number,pearson,108,-0.060768130151232044,0.5321350104386773
pc3,period,atomic_number,spearman,108,0.3202170704248077,0.0007288508176912015
pc3,period,electronegativity_pauling,pearson,100,-0.37917826944413324,0.00010006448514126703
pc3,period,electronegativity_pauling,spearman,100,-0.5774536472708605,3.1851233803266837e-10
pc3,period,ionization_energy_1,pearson,104,-0.23779263633137762,0.015070391208308834
pc3,period,ionization_energy_1,spearman,104,-0.5929438878876033,3.317123779538314e-11
pc3,period,atomic_radius,pearson,86,0.30199840866636907,0.004714233399282996
pc3,period,atomic_radius,spearman,86,0.6225451130104916,1.5605695626068233e-10
