symbol,atomic_number,period,group,pc1,pc2,pc3,radius_pc12,phi3,cluster
H,1,1,1.0,-11.007145259885409,9.68187593668794,-2.022029531589346,14.659330422145302,14.798127308962247,C3
He,2,1,18.0,-13.653803710669347,11.387739469104396,3.679872739394008,17.77939723347465,18.156222882632314,C3
Li,3,2,1.0,-4.8530129971940985,-7.707381644917088,14.209692586089885,9.107989183751796,16.878116908071156,C3
Be,4,2,2.0,-0.9267355317646624,-1.9513625210710508,0.1707512167542487,2.160244068265412,2.1669818671366303,C3
B,5,2,13.0,-0.9687846625780768,-1.5307392824990007,-0.2884605480009635,1.8115480875295786,1.8343707262124225,C3
C,6,2,14.0,-2.3449329685604785,-1.1626772603789657,-0.2218233331500038,2.617351531385151,2.6267345945058804,C3
N,7,2,15.0,-0.6456430562136888,-0.7680305898402886,-0.8997730763246083,1.0033573356324126,1.3477082517540744,C3
O,8,2,16.0,-0.1651287428378097,0.1426637484240858,-0.3405091903294582,0.2182210961974262,0.4044341176562995,C1
F,9,2,17.0,-0.4392513333130074,-0.4107188389140637,-0.6744237500881451,0.6013582114315654,0.9035923268483017,C1
Ne,10,2,18.0,-1.4246442671232111,0.1295500758516323,-0.1693379647348389,1.4305224605018247,1.4405102763606832,C3
Na,11,3,1.0,-2.242965995863852,-0.6333650263539212,1.326884281757097,2.3306753774839226,2.6819152880700523,C3
Mg,12,3,2.0,-0.960058946596391,-1.3732939391419037,0.6882184991175403,1.6756041967671418,1.8114342733732456,C3
Al,13,3,13.0,-0.5243838978752986,-1.406028803717672,0.1150092736829643,1.5006316900674326,1.5050324256532555,C3
Si,14,3,14.0,0.7906518990141471,-0.0405568179040757,-0.6003953202488851,0.7916914050898756,0.9936044592643205,C1
P,15,3,15.0,-0.3344741768510728,-0.715873961660169,-0.9343103202729072,0.790157265335976,1.223635680475071,C2
S,16,3,16.0,-1.2649839427168783,0.2454694185724876,0.1177285360035253,1.2885804634503246,1.2939473014676397,C2
Cl,17,3,17.0,-0.4213704296109382,-0.756046112817077,-0.979009756048859,0.8655395794857211,1.3067589165929443,C3
Ar,18,3,18.0,-0.6900844991797203,-0.8446683948239055,-1.0338729771787991,1.090725131837769,1.502855497432495,C3
K,19,4,1.0,-3.715677779263725,-5.289647237346348,10.239190279937466,6.4642578270734266,12.108990331305328,C3
Ca,20,4,2.0,-0.0526018476008688,-0.7369756472399225,-0.9362604111464016,0.7388504984066314,1.1926791758372226,C2
Sc,21,4,3.0,0.4897116518201654,-0.1629187279315025,-0.5355299998209384,0.516100778762495,0.7437421559569338,C1
Ti,22,4,4.0,1.3650440807490931,0.9289719306647886,0.2533981167222759,1.6511614670743746,1.670492381278525,C3
V,23,4,5.0,2.485847233549584,1.8930675991454624,1.0209005732209018,3.1246025992885054,3.2871536903350367,C3
Cr,24,4,6.0,0.4682070532315379,-0.144523392389129,-0.5837317705721479,0.4900049547131358,0.7621336074591626,C1
Mn,25,4,7.0,0.0072516704879839,-0.6552331091116139,-0.8950317597266451,0.6552732361396568,1.1092632081342613,C2
Fe,26,4,8.0,1.4229412918838855,1.085618920463758,-0.1622709562974975,1.789785004020616,1.797126101272468,C3
Co,27,4,9.0,-0.2785950987078153,-0.6880958840839941,-0.8457902991928454,0.7423551540316473,1.1253676754403752,C2
Ni,28,4,10.0,2.1040414301387607,1.4046116713318852,0.6298820977188299,2.529807163991381,2.6070434871725454,C3
Cu,29,4,11.0,-0.3418670788452918,-0.7411806589639278,-0.8091927957272324,0.8162241535389745,1.1493541009964117,C2
Zn,30,4,12.0,-0.7224870169815593,-0.8813122760077305,-0.585840801252755,1.1396046759946354,1.281369682004888,C2
Ga,31,4,13.0,-0.2999807232549267,-0.701090403206102,-0.7107610181625932,0.7625720869480103,1.0424477985644027,C1
Ge,32,4,14.0,0.6645456806354352,-0.066240565461308,-0.4983360216363569,0.6678388833871891,0.8332752034137336,C1
As,33,4,15.0,-0.2068229315814063,-0.6609959823818041,-0.8417426863092096,0.6925975842816761,1.0900560369576684,C1
Se,34,4,16.0,0.482830012980347,-0.0449365375057885,-0.3923678963519613,0.48491660503390804,0.6237761456847116,C1
Br,35,4,17.0,-0.2528138792741238,-0.6027390255907364,-0.819171570878001,0.6536124161333701,1.0479748341722874,C1
Kr,36,4,18.0,-1.060140713246644,-1.2993621759366154,-0.2202663783693082,1.676973582420975,1.691377448583778,C3
Rb,37,5,1.0,0.0551407325789938,-0.3820830614513996,-0.5294037892462866,0.38604140482262017,0.6552070957382473,C1
Sr,38,5,2.0,-0.0496126821964179,-0.6194297497937172,-0.8397546334957058,0.6214134156616108,1.0446733832359936,C1
Y,39,5,3.0,0.028825076642321,-0.7600521601788713,1.2348326133626484,0.7605985611582528,1.450283335855457,C3
Zr,40,5,4.0,1.726308844197092,1.2006692291331602,0.6623675350735896,2.1027954782480194,2.204649535608728,C3
Nb,41,5,5.0,-0.2595673627780569,-0.6694177416525647,-0.8387208289401897,0.7179800336073249,1.1040597617687615,C2
Mo,42,5,6.0,0.2888088736478733,-0.2974476858634942,-0.562935344285991,0.41459099281496836,0.6991293822817694,C1
Tc,43,5,7.0,0.8386166968423554,0.2976157009464815,-0.0840446364507885,0.8898612642837357,0.8938213303500838,C1
Ru,44,5,8.0,1.6201959906138543,1.0214509540532124,0.4675939578288649,1.9153060067616943,1.9715580663362389,C3
Rh,45,5,9.0,1.2238092387945974,0.6954598253941434,0.2104886169217575,1.4076126674963763,1.4232634610464427,C3
Pd,46,5,10.0,-0.2862569992915766,-0.6955473339573539,-0.8486103986465553,0.7521496948205194,1.13396153907867,C2
Ag,47,5,11.0,-0.2792025241446089,-0.7121604897759538,-0.8821760795563263,0.7649356918634711,1.1676306128343916,C2
Cd,48,5,12.0,-0.2877520986464599,-0.6937685628401506,-0.8741400311619538,0.7510766199667848,1.152491597861152,C2
In,49,5,13.0,-0.0274597112419914,-0.4900644302096337,-0.7053313468698278,0.49083315036597364,0.8593075644816539,C1
Sn,50,5,14.0,0.5113510138028817,-0.0407032226886324,-0.3992911620478558,0.5129684314404497,0.6500538775701614,C1
Sb,51,5,15.0,-0.180091414502227,-0.658064912700157,-0.8481816848521937,0.6822626670897933,1.0885286020234766,C1
Te,52,5,16.0,-0.0940470390948282,-0.5500724281774015,-0.7568025758956071,0.5580542283716581,0.9403056208944583,C1
I,53,5,17.0,-0.3165789777646725,-0.5752785879215104,-0.8737091831286999,0.6566336138848604,1.0929480498024196,C1
Xe,54,5,18.0,-0.8910642639593346,-0.7812902111306991,-0.6913604957441168,1.1850780212770986,1.3720019138432695,C3
Cs,55,6,1.0,0.0227637186585402,-0.4096091739419313,-0.5559830757701666,0.41024122448208017,0.6909522724525995,C1
Ba,56,6,2.0,0.3834409563566833,-0.1081256580187249,-0.2976369176791247,0.3983944338638658,0.4972985619316028,C1
La,57,6,3.0,1.4680065131344,0.8803054322063587,0.3675303058184521,1.7117186616313569,1.7507310765140511,C3
Ce,58,6,,10.127247581840528,9.214316917265318,7.035800265078496,13.691777818665356,15.393741104935321,C3
Pr,59,6,,3.275378398726009,2.6925649249223365,1.874365872333812,4.240048293329096,4.635866364891537,C3
Nd,60,6,,3.588419932378017,2.9142801256528954,2.121258108387752,4.622746614499145,5.086209022864091,C3
Pm,61,6,,1.4706706777201295,0.9073880396532572,0.374666278753378,1.7280698182688008,1.7682194765487882,C3
Sm,62,6,,2.799052333992722,2.1317514176253742,1.3575055085176622,3.518388562250892,3.7711906979936316,C3
Eu,63,6,,0.4059818095840276,-0.2028454279595243,-0.4214897979798514,0.45383642136479546,0.6193715743867328,C1
Gd,64,6,,3.1633604639935453,2.469491652755281,1.6590565448664538,4.013133245755175,4.342546150272866,C3
Tb,65,6,,5.777724385452825,5.078856696937153,3.732272691306469,7.692651325926556,8.550248175611724,C3
Dy,66,6,,1.399799302321715,0.7840749059658242,0.4911272861753947,1.6044349612700655,1.6779206048474655,C3
Ho,67,6,,0.6134747699115737,0.137265794133525,-0.1457220338834536,0.6286439306612015,0.6453124070683097,C1
Er,68,6,,1.22915319718023,0.616768868613368,0.3326727541701711,1.3752168626907524,1.4148825325079686,C3
Tm,69,6,,0.4710657393509854,-0.1685516598204062,-0.4070398993440356,0.5003124951652761,0.6449760247299949,C1
Yb,70,6,,-0.1490449345759329,-0.6674458101206177,-0.8533293360786298,0.6838847139469574,1.093558072432693,C2
Lu,71,6,,0.5148909314349801,-0.0076887690996236,-0.3199803616501315,0.5149483357039313,0.6062666247501982,C1
Hf,72,6,4.0,0.6165859948903787,0.0684679369441841,-0.2398691522458533,0.6203758114919946,0.6651340900025312,C1
Ta,73,6,5.0,0.8406923507797011,0.316786089440144,-0.0374470217951096,0.8983969362827763,0.8991770318261039,C1
W,74,6,6.0,1.238619907605217,0.5631020321854227,0.098114728234724,1.3606113236950914,1.364144301041456,C3
Re,75,6,7.0,0.0453302289634718,-0.4827493696697412,-0.7027221648194124,0.4848729561177992,0.8537682498798457,C1
Os,76,6,8.0,0.5604169200338777,0.0339459437869303,-0.2963520977974012,0.5614440767875667,0.6348574778867802,C1
Ir,77,6,9.0,0.4345059281546805,-0.0809444011168934,-0.3888374203280575,0.44198121868890866,0.5886781269260064,C1
Pt,78,6,10.0,0.3559834349660004,-0.2356491466395955,-0.6730518574911142,0.42691301957443534,0.7970279349899859,C1
Au,79,6,11.0,-0.2284040193227651,-0.666525951865583,-0.8377053889471331,0.7045745102919319,1.0946120587789006,C2
Hg,80,6,12.0,-0.5556144024674327,-0.8421246042646069,-0.8276251409349061,1.0089009928318353,1.3049308745081427,C2
Tl,81,6,13.0,-0.2329451010503852,-0.6688872582959065,-0.8353848388099218,0.7082891954660814,1.0952357797878354,C2
Pb,82,6,14.0,-0.1876982439759211,-0.6550177149582708,-0.8420609881928369,0.6813800978167758,1.083210757672345,C1
Bi,83,6,15.0,-0.2317212895319644,-0.6672322030170318,-0.8390646737042602,0.7063239828614897,1.0967785079147725,C2
Po,84,6,16.0,-0.2435681792553093,-0.6675595444694007,-0.8295787179369873,0.7106062224312001,1.092319574397491,C1
At,85,6,17.0,-0.2898635321778344,-0.700475884009795,-0.8512208958301646,0.7580813487785557,1.139852773328127,C2
Rn,86,6,18.0,-0.3387807844680868,-0.7330649993082881,-0.9027773486143312,0.8075622038800928,1.2112653112785796,C2
Fr,87,7,1.0,-0.0644603797315016,-0.5068980689241755,-0.6683820159012832,0.5109802274395631,0.8413294907552278,C1
Ra,88,7,2.0,-0.1701255342731208,-0.6076709374290191,-0.7746505935580852,0.6310361840715457,0.9991447381172917,C1
Ac,89,7,3.0,0.1697724576807343,-0.2661089190122614,-0.5071494522988242,0.31565272716203646,0.5973585281318318,C1
Th,90,7,,2.8048729796231995,2.858685113573771,1.6031500270672416,4.004921099146475,4.313871001742438,C3
Pa,91,7,,-0.2874935193791608,-0.6965314050604372,-0.8492293169131724,0.7535307040330094,1.1353408979796755,C2
U,92,7,,-0.2808719329736602,-0.6812664243209767,-0.8434275540194065,0.7368941468348418,1.1199924207415906,C2
Np,93,7,,-0.2858733131481684,-0.6925330780151581,-0.847709363691695,0.749216667804087,1.131342910264628,C2
Pu,94,7,,-0.2823752986136221,-0.6910346337620814,-0.847147548417867,0.7465016237931611,1.1291251671609435,C2
Am,95,7,,-0.2889627219273577,-0.6986524308585851,-0.8500339709876531,0.7560520311514793,1.137616994265344,C2
Cm,96,7,,-0.2853070325220228,-0.686271882328167,-0.8453238594953234,0.7432154460725154,1.1255850153199611,C2
Bk,97,7,,-0.2847164946921269,-0.6905428114820455,-0.8469537162114231,0.7469356443759394,1.1292667772690559,C2
