symbol,atomic_number,phi3,phi3_shuffled,cluster
H,1,14.798127308962247,0.6237761456847116,C3
He,2,18.156222882632314,12.108990331305328,C3
Li,3,16.878116908071156,0.6348574778867802,C3
Be,4,2.1669818671366303,1.1493541009964117,C3
B,5,1.8343707262124225,1.7507310765140511,C3
C,6,2.6267345945058804,14.798127308962247,C3
N,7,1.3477082517540744,1.1092632081342613,C3
O,8,0.4044341176562995,0.6651340900025312,C1
F,9,0.9035923268483017,1.0929480498024196,C1
Ne,10,1.4405102763606832,0.6062666247501982,C3
Na,11,2.6819152880700523,1.0967785079147725,C3
Mg,12,1.8114342733732456,1.0446733832359936,C3
Al,13,1.5050324256532555,1.1676306128343916,C3
Si,14,0.9936044592643205,16.878116908071156,C1
P,15,1.223635680475071,1.083210757672345,C2
S,16,1.2939473014676397,1.13396153907867,C2
Cl,17,1.3067589165929443,5.086209022864091,C3
Ar,18,1.502855497432495,0.5973585281318318,C3
K,19,12.108990331305328,1.1394970084393012,C3
Ca,20,1.1926791758372226,1.1292667772690559,C2
Sc,21,0.7437421559569338,1.093558072432693,C1
Ti,22,1.670492381278525,1.8343707262124225,C3
V,23,3.2871536903350367,0.8991770318261039,C3
Cr,24,0.7621336074591626,1.670492381278525,C1
Mn,25,1.1092632081342613,1.797126101272468,C2
Fe,26,1.797126101272468,1.139852773328127,C3
Co,27,1.1253676754403752,1.1394970084393012,C2
Ni,28,2.6070434871725454,2.6070434871725454,C3
Cu,29,1.1493541009964117,1.2112653112785796,C2
Zn,30,1.281369682004888,1.0946120587789006,C2
Ga,31,1.0424477985644027,0.4972985619316028,C1
Ge,32,0.8332752034137336,0.4044341176562995,C1
As,33,1.0900560369576684,1.1394970084393012,C1
Se,34,0.6237761456847116,0.9991447381172917,C1
Br,35,1.0479748341722874,1.1253676754403752,C1
Kr,36,1.691377448583778,1.364144301041456,C3
Rb,37,0.6552070957382473,1.1291251671609435,C1
Sr,38,1.0446733832359936,1.450283335855457,C1
Y,39,1.450283335855457,2.6819152880700523,C3
Zr,40,2.204649535608728,1.281369682004888,C3
Nb,41,1.1040597617687615,1.0885286020234766,C2
Mo,42,0.6991293822817694,0.9403056208944583,C1
Tc,43,0.8938213303500838,1.502855497432495,C1
Ru,44,1.9715580663362389,2.204649535608728,C3
Rh,45,1.4232634610464427,1.1394970084393012,C3
Pd,46,1.13396153907867,1.1387308373355691,C2
Ag,47,1.1676306128343916,1.1040597617687615,C2
Cd,48,1.152491597861152,0.8938213303500838,C2
In,49,0.8593075644816539,0.6449760247299949,C1
Sn,50,0.6500538775701614,2.6267345945058804,C1
Sb,51,1.0885286020234766,1.092319574397491,C1
Te,52,0.9403056208944583,18.156222882632314,C1
I,53,1.0929480498024196,0.8413294907552278,C1
Xe,54,1.3720019138432695,1.1199924207415906,C3
Cs,55,0.6909522724525995,4.342546150272866,C1
Ba,56,0.4972985619316028,2.1669818671366303,C1
La,57,1.7507310765140511,1.1353408979796755,C3
Ce,58,15.393741104935321,1.1394970084393012,C3
Pr,59,4.635866364891537,0.7437421559569338,C3
Nd,60,5.086209022864091,1.137616994265344,C3
Pm,61,1.7682194765487882,1.9715580663362389,C3
Sm,62,3.7711906979936316,1.0952357797878354,C3
Eu,63,0.6193715743867328,1.0900560369576684,C1
Gd,64,4.342546150272866,3.7711906979936316,C3
Tb,65,8.550248175611724,15.393741104935321,C3
Dy,66,1.6779206048474655,1.137205963842768,C3
Ho,67,0.6453124070683097,0.7621336074591626,C1
Er,68,1.4148825325079686,1.1394970084393012,C3
Tm,69,0.6449760247299949,0.5886781269260064,C1
Yb,70,1.093558072432693,1.2939473014676397,C2
Lu,71,0.6062666247501982,0.8593075644816539,C1
Hf,72,0.6651340900025312,1.7682194765487882,C1
Ta,73,0.8991770318261039,1.4405102763606832,C1
W,74,1.364144301041456,0.6193715743867328,C3
Re,75,0.8537682498798457,0.8332752034137336,C1
Os,76,0.6348574778867802,1.3049308745081427,C1
Ir,77,0.5886781269260064,1.3067589165929443,C1
Pt,78,0.7970279349899859,1.4232634610464427,C1
Au,79,1.0946120587789006,4.313871001742438,C2
Hg,80,1.3049308745081427,1.4148825325079686,C2
Tl,81,1.0952357797878354,1.0479748341722874,C2
Pb,82,1.083210757672345,1.0424477985644027,C1
Bi,83,1.0967785079147725,4.635866364891537,C2
Po,84,1.092319574397491,0.8537682498798457,C1
At,85,1.139852773328127,1.1255850153199611,C2
Rn,86,1.2112653112785796,1.1394970084393012,C2
Fr,87,0.8413294907552278,0.6909522724525995,C1
Ra,88,0.9991447381172917,0.6500538775701614,C1
Ac,89,0.5973585281318318,1.3477082517540744,C1
Th,90,4.313871001742438,1.1394970084393012,C3
Pa,91,1.1353408979796755,1.8114342733732456,C2
U,92,1.1199924207415906,1.131342910264628,C2
Np,93,1.131342910264628,0.6991293822817694,C2
Pu,94,1.1291251671609435,3.2871536903350367,C2
Am,95,1.137616994265344,1.1926791758372226,C2
Cm,96,1.1255850153199611,1.691377448583778,C2
Bk,97,1.1292667772690559,8.550248175611724,C2
Cf,98,1.1376865890210837,1.152491597861152,C2
Es,99,1.1387308373355691,1.5050324256532555,C2
Fm,100,1.1394970084393012,1.3720019138432695,C2
Md,101,1.1394970084393012,1.223635680475071,C2
No,102,1.1394970084393012,0.9936044592643205,C2
Lr,103,1.137205963842768,0.6453124070683097,C2
Rf,104,1.1394970084393012,0.6552070957382473,C2
Db,105,1.1394970084393012,1.1376865890210837,C2
Sg,106,1.1394970084393012,1.6779206048474655,C2
Bh,107,1.1394970084393012,0.7970279349899859,C2
Hs,108,1.1394970084393012,0.9035923268483017,C2
